Tiempo[ms],RED,IR,GREEN,Clase
78,276.0,237.0,58.0,Clase 1
47797,273.0,236.0,59.0,Clase 1
47917,271.0,234.0,56.0,Clase 1
48036,275.0,236.0,60.0,Clase 1
48155,272.0,235.0,58.0,Clase 1
48275,272.0,232.0,59.0,Clase 1
48396,272.0,235.0,60.0,Clase 1
48514,273.0,231.0,55.0,Clase 1
48633,272.0,233.0,56.0,Clase 1
48754,273.0,232.0,57.0,Clase 1
48872,274.0,230.0,57.0,Clase 1
48992,271.0,230.0,57.0,Clase 1
49113,275.0,230.0,57.0,Clase 1
49230,275.0,229.0,58.0,Clase 1
49350,271.0,228.0,56.0,Clase 1
49471,273.0,230.0,58.0,Clase 1
49589,274.0,229.0,59.0,Clase 1
49709,272.0,230.0,58.0,Clase 1
49829,273.0,228.0,57.0,Clase 1
49949,276.0,229.0,60.0,Clase 1
50067,272.0,229.0,54.0,Clase 1
50188,273.0,231.0,58.0,Clase 1
50308,274.0,227.0,58.0,Clase 1
50425,272.0,229.0,58.0,Clase 1
50546,271.0,229.0,59.0,Clase 1
50666,271.0,229.0,59.0,Clase 1
50785,275.0,229.0,59.0,Clase 1
50905,272.0,227.0,56.0,Clase 1
51024,270.0,227.0,58.0,Clase 1
51143,273.0,227.0,59.0,Clase 1
51263,274.0,229.0,59.0,Clase 1
51383,273.0,231.0,56.0,Clase 2
51502,273.0,229.0,60.0,Clase 2
51621,274.0,232.0,58.0,Clase 2
51741,273.0,226.0,58.0,Clase 2
51860,269.0,228.0,60.0,Clase 2
51980,271.0,229.0,56.0,Clase 2
52100,276.0,230.0,57.0,Clase 2
52218,271.0,228.0,59.0,Clase 2
52338,275.0,231.0,55.0,Clase 2
52458,271.0,229.0,55.0,Clase 2
52577,270.0,228.0,54.0,Clase 2
124,272.0,227.0,56.0,Clase 2
244,275.0,227.0,57.0,Clase 2
364,272.0,225.0,62.0,Clase 3
483,272.0,227.0,60.0,Clase 3
603,273.0,225.0,58.0,Clase 3
722,273.0,227.0,53.0,Clase 3
840,273.0,226.0,55.0,Clase 3
961,271.0,226.0,56.0,Clase 3
1081,273.0,225.0,57.0,Clase 3
1201,274.0,228.0,58.0,Clase 3
1318,274.0,227.0,59.0,Clase 3
1439,275.0,224.0,57.0,Clase 3
1559,274.0,228.0,55.0,Clase 3
1677,272.0,229.0,57.0,Clase 3
1798,272.0,225.0,60.0,Clase 3
1917,273.0,225.0,59.0,Clase 3
2035,273.0,226.0,56.0,Clase 3
2156,271.0,227.0,58.0,Clase 3
2276,274.0,236.0,58.0,Clase 3
2396,278.0,248.0,60.0,Clase 3
2513,280.0,250.0,60.0,Clase 3
2634,279.0,249.0,57.0,Clase 3
2754,279.0,247.0,55.0,Clase 3
2872,278.0,248.0,58.0,Clase 3
2993,280.0,245.0,57.0,Clase 3
3112,281.0,249.0,56.0,Clase 3
3230,275.0,247.0,57.0,Clase 3
3350,277.0,251.0,58.0,Clase 3
3471,278.0,251.0,56.0,Clase 3
3591,280.0,249.0,58.0,Clase 3
3708,277.0,247.0,58.0,Clase 3
3829,279.0,247.0,57.0,Clase 3
3949,281.0,248.0,58.0,Clase 3
4067,275.0,249.0,59.0,Clase 3
4188,277.0,247.0,59.0,Clase 3
4307,280.0,246.0,59.0,Clase 3
4425,277.0,251.0,58.0,Clase 3
4545,278.0,251.0,56.0,Clase 3
4666,279.0,249.0,57.0,Clase 3
4786,279.0,247.0,59.0,Clase 3
4903,278.0,249.0,60.0,Clase 3
5024,280.0,249.0,56.0,Clase 3
5144,277.0,248.0,56.0,Clase 3
5262,281.0,263.0,57.0,Clase 3
5382,283.0,261.0,57.0,Clase 3
5502,284.0,255.0,57.0,Clase 3
5620,280.0,244.0,57.0,Clase 3
5740,278.0,240.0,56.0,Clase 3
5861,280.0,250.0,56.0,Clase 3
5981,281.0,271.0,59.0,Clase 3
6098,276.0,255.0,59.0,Clase 3
6219,279.0,261.0,58.0,Clase 3
6339,276.0,252.0,57.0,Clase 3
6457,277.0,252.0,57.0,Clase 3
6577,276.0,251.0,57.0,Clase 3
6697,280.0,257.0,58.0,Clase 3
6815,278.0,261.0,57.0,Clase 3
6935,274.0,257.0,55.0,Clase 3
7056,279.0,250.0,58.0,Clase 3
7176,277.0,240.0,59.0,Clase 3
7293,272.0,232.0,58.0,Clase 3
7414,276.0,227.0,56.0,Clase 3
7534,270.0,222.0,57.0,Clase 3
7652,266.0,213.0,52.0,Clase 3
7772,269.0,211.0,57.0,Clase 3
7892,265.0,203.0,56.0,Clase 3
8010,264.0,205.0,56.0,Clase 3
8130,262.0,204.0,56.0,Clase 3
8251,267.0,204.0,55.0,Clase 3
8371,264.0,208.0,55.0,Clase 3
8488,314.0,264.0,58.0,Clase 3
8609,336.0,273.0,58.0,Clase 3
8729,336.0,338.0,62.0,Clase 3
8847,475.0,669.0,114.0,Clase 3
8968,2574.0,6548.0,366.0,Clase 3
9088,2622.0,3029.0,171.0,Clase 3
9205,2498.0,3614.0,176.0,Clase 3
9326,1611.0,1497.0,115.0,Clase 3
9444,1459.0,4778.0,412.0,Clase 3
9565,7715.0,9713.0,849.0,Clase 3
